,artist,track,position,date
32108,Iggy Azalea Featuring T.I.,Change Your Life,25,2014-06-21
32111,PSY Featuring Snoop Dogg,Hangover,3,2014-06-28
32129,G-Eazy Featuring A$AP Ferg & Danny Seth,Lotta That,21,2014-06-28
32131,Migos,Fight Night,23,2014-06-28
32141,T.I. Featuring Iggy Azalea,No Mediocre,8,2014-07-05
32157,Tyga Featuring Young Thug,Hookah,24,2014-07-05
32179,Iggy Azalea Featuring Rita Ora,Black Widow,21,2014-07-12
32180,T.I. Featuring Young Thug,About The Money,22,2014-07-12
32182,G-Eazy Featuring Remo,I Mean It,24,2014-07-12
32199,Busta Rhymes Featuring Eminem,Calm Down,16,2014-07-19
32205,Rich Gang Featuring Young Thug & Rich Homie Quan,Lifestyle,22,2014-07-19
32231,TeeFLii Featuring 2 Chainz,24 Hours,23,2014-07-26
32232,Rae Sremmurd,No Flex Zone!!,24,2014-07-26
32252,Drake,0 To 100 / The Catch Up,19,2014-08-02
32258,"Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink",Delirious (Boneless),25,2014-08-02
32282,Lil Jon Featuring Tyga,Bend Ova,24,2014-08-09
32298,Bobby Shmurda,Hot Boy,15,2014-08-16
32301,Pitbull Featuring John Ryan,Fireball,18,2014-08-16
32312,Nicki Minaj,Anaconda,4,2014-08-23
32324,Jack & Jack,Wild Life,16,2014-08-23
32327,Rae Sremmurd,No Flex Zone,19,2014-08-23
32329,"Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik",Shell Shocked,21,2014-08-23
32383,Wiz Khalifa Feauring Project Pat & Juicy J,KK,25,2014-09-06
32387,Eminem Featuring Sia,Guts Over Fear,4,2014-09-13
32406,Jeezy Featuring JAY Z,Seen It All,23,2014-09-13
32408,Lecrae Featuring Andy Mineo,Say I Won't,25,2014-09-13
32455,Kid Ink Featuring Usher & Tinashe,Body Language,22,2014-09-27
32457,Migos,Handsome And Wealthy,24,2014-09-27
32458,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign,You And Your Friends,25,2014-09-27
32483,YelaWolf,Till It's Gone,25,2014-10-04
32491,Kendrick Lamar,i,8,2014-10-11
32498,Big Sean Featuring E-40,I Don't F**k With You,15,2014-10-11
32499,Rae Sremmurd,No Type,16,2014-10-11
32529,OG Maco,U Guessed It,21,2014-10-18
32531,Fergie,L.A.LOVE (la la),23,2014-10-18
32538,Jimmy Fallon Featuring will.i.am,EW!,5,2014-10-25
32558,Yo Gotti,Errrbody,25,2014-10-25
32581,Bobby Shmurda,Bobby Bitch,23,2014-11-01
32600,DeJ Loaf,Try Me,17,2014-11-08
32603,Flo Rida Featuring Sage The Gemini & Lookas,G.D.F.R.,20,2014-11-08
32605,Iggy Azalea Featuring M0,Beg For It,22,2014-11-08
32607,Snootie Wild Featuring K Camp,Made Me,24,2014-11-08
32619,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",Only,11,2014-11-15
32681,"Eminem, Royce Da 5'9"", Big Sean, Danny Brown, Dej Loaf & Trick Trick",Detroit Vs. Everybody,23,2014-11-29
32683,Wale Featuring Jeremih,The Body,25,2014-11-29
32699,Nicki Minaj Featruing Skylar Grey,Bed Of Lies,16,2014-12-06
32700,O.T. Genasis,CoCo,17,2014-12-06
32729,Pitbull & Ne-Yo,Time Of Our Lives,21,2014-12-13
32772,J. Cole,Wet Dreamz,14,2014-12-27
32776,J. Cole,No Role Modelz,18,2014-12-27
32777,J. Cole,Apparently,19,2014-12-27
32782,J. Cole,Fire Squad,24,2014-12-27
32783,J. Cole,A Tale Of 2 Citiez,25,2014-12-27
32791,Nicki Minaj Featuring Beyonce,Feeling Myself,8,2015-01-03
32801,Nicki Minaj Featuring Ariana Grande,Get On Your Knees,18,2015-01-03
32829,French Montana Featuring Jeremih,Bad B*tch,21,2015-01-10
32833,Hoodie Allen Featuring Ed Sheeran,All About It,25,2015-01-10
32852,Rae Sremmurd Featuring Nicki Minaj & Young Thug,Throw Sum Mo,19,2015-01-17
32856,B.o.B Featuring Trey Songz,Not For Long,23,2015-01-17
32882,Machine Gun Kelly,Til I Die,24,2015-01-24
32905,Fetty Wap,Trap Queen,22,2015-01-31
32906,Kevin Gates Featuring August Alsina,I Don't Get Tired (#IDGT),23,2015-01-31
32920,Nicki Minaj Featuring Drake & Lil Wayne,Truffle Butter,12,2015-02-07
32954,K Camp,Lil Bit,21,2015-02-14
32956,J Balvin,Ay Vamos,23,2015-02-14
32968,Big Sean Featuring Drake,Blessings,10,2015-02-21
32982,Kid Ink Featuring DeJ Loaf,Be Real,24,2015-02-21
32992,Drake,Energy,9,2015-02-28
32998,Drake,Legend,15,2015-02-28
32999,Drake,10 Bands,16,2015-02-28
33002,Drake Featuring Lil Wayne,Used To,19,2015-02-28
33003,Chris Brown & Tyga Featuring ScHoolboy Q,Bitches N Marijuana,20,2015-02-28
33004,Drake,No Tellin',21,2015-02-28
33007,Drake,Jungle,24,2015-02-28
33023,Drake,Know Yourself,15,2015-03-07
33026,Drake,6 God,18,2015-03-07
33030,Drake,Now & Forever,22,2015-03-07
33031,Drake,6 Man,23,2015-03-07
33051,Big Sean Featuring Kanye West,All Your Fault,18,2015-03-14
33054,Big Sean Featuring Kanye West & John Legend,One Man Can Change The World,21,2015-03-14
33055,Silento,Watch Me,22,2015-03-14
33062,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",All Day,4,2015-03-21
33079,Kendrick Lamar,The Blacker The Berry,21,2015-03-21
33102,LunchMoney Lewis,Bills,19,2015-03-28
33103,Wiz Khalifa Featuring Charlie Puth,See You Again,20,2015-03-28
33105,Kalin And Myles,Trampoline,22,2015-03-28
33108,Ludacris Featuring Miguel,Good Lovin,25,2015-03-28
33121,Kendrick Lamar,King Kunta,13,2015-04-04
33131,Kendrick Lamar Featuring George Clinton & Thundercat,Wesley's Theory,23,2015-04-04
33133,Kendrick Lamar Featuring Bilal. Anna Wise & Thundercat,These Walls,25,2015-04-04
33146,Iggy Azalea Featuring Jennifer Hudson,Trouble,13,2015-04-11
33154,Action Bronson Featuring Chance The Rapper,Baby Blue,21,2015-04-11
33155,Future,Commas,22,2015-04-11
33178,Wale Featuring Usher,The Matrimony,20,2015-04-18
33204,Wiz Khalifa & Iggy Azalea,Go Hard Or Go Home,21,2015-04-25
33216,T-Wayne,Nasty Freestyle,8,2015-05-02
33232,Chedda Da Connect,Flicka Da Wrist,24,2015-05-02
33251,Bandit Gang Marco Featuring Dro,Nasty,18,2015-05-09
33255,Rich Homie Quan,Flex (Ooh Ooh Ooh),22,2015-05-09
33304,Nicki Minaj,The Night Is Still Young,21,2015-05-23
33325,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",How Many Times,17,2015-05-30
33327,Pitbull Featuring Chris Brown,Fun,19,2015-05-30
33333,Tech N9Ne Featuring 2 Chainz & B.o.B,Hood Go Crazy,25,2015-05-30
33379,A$AP Rocky Featuring ScHoolboy Q,Electric Body,21,2015-06-13
33392,Eminem,Phenomenal,9,2015-06-20
33406,A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson,Everyday,23,2015-06-20
33426,Travi$ Scott Featuring Future & 2 Chainz,3500,18,2015-06-27
33431,Rae Sremmurd,This Could Be Us,23,2015-06-27
33433,Young Thug,Check,25,2015-06-27
33455,Flo Rida Featuring Robin Thicke & Verdine White,"I Don't Like It, I Love It",22,2015-07-04
33474,Meek Mill Featuring Chris Brown & Nicki Minaj,All Eyes On You,16,2015-07-11
33482,Fetty Wap,My Way,24,2015-07-11
33490,Fetty Wap Featuring Remy Boyz,679,7,2015-07-18
33495,Meek Mill Featuring Drake,R.I.C.O.,12,2015-07-18
33504,Big Sean Featuring Chris Brown & Ty Dolla $ign,Play No Games,21,2015-07-18
33507,Meek Mill Featuring Nicki Minaj,Bad For You,24,2015-07-18
33530,Meek Mill,Lord Knows,22,2015-07-25
33531,Meek Mill Featuring Future,Jump Out The Face,23,2015-07-25
33533,Meek Mill Featuring The Weeknd,Pullin Up,25,2015-07-25
33552,Eminem Featuring Gwen Stefani,Kings Never Die,19,2015-08-01
33574,Future Featuring Drake,Where Ya At,16,2015-08-08
33580,Future,Blow A Bag,22,2015-08-08
33582,Future,Trap N****s,24,2015-08-08
33607,K Camp,Comfortable,24,2015-08-15
33614,Drake,Back To Back,6,2015-08-22
33624,Drake,Hotline Bling,16,2015-08-22
33626,Drake,Charged Up,18,2015-08-22
33630,The Game Featuring Drake,100,22,2015-08-22
33641,Fetty Wap,Again,8,2015-08-29
33658,Mac Miller,100 Grandkids,25,2015-08-29
33667,N.W.A,Straight Outta Compton,9,2015-09-05
33669,@iHeartMemphis,Hit The Quan,11,2015-09-05
33672,Eazy-E,Boyz-N-The Hood,14,2015-09-05
33678,N.W.A,F**k Tha Police,20,2015-09-05
33713,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Downtown,5,2015-09-19
33751,Travi$ Scott,Antidote,18,2015-09-26
33753,Wiz Khalifa Featuring Rae Sremmurd,Burn Slow,20,2015-09-26
